model,strategy,l,shift_w0,w_input_over_w_cav,analysis_basis_over_w_cav,retained_power,target_overlap_power,p0_modal_weight,p1_modal_weight,leakage_modal_weight,dominant_p
yang_phase_only,scaled_w0,8,0.0,1.0,0.3333333333333333,0.9999998132176448,0.014268871035912954,0.5667409354800643,9.899843511260874e-34,0.4332590645199357,0
yang_phase_only,scaled_w0,0,0.08,1.0,1.0,0.9999997745543393,0.9936200465961812,0.9936202706035598,1.0155356201920595e-05,0.006379729396440159,0
yang_phase_only,scaled_w0,1,0.08,1.0,0.7071067811865475,0.999999774554339,0.7729256395547048,0.9073036876870562,0.00013219620800301402,0.09269631231294384,0
yang_phase_only,scaled_w0,2,0.08,1.0,0.5773502691896258,0.9999997745543393,0.48733399974540054,0.7963552192140089,0.000501109461249189,0.20364478078599113,0
yang_phase_only,scaled_w0,3,0.08,1.0,0.5,0.999999774554339,0.28429968687339635,0.6963688907087693,0.0012011294187984811,0.3036311092912307,0
yang_phase_only,scaled_w0,4,0.08,1.0,0.4472135954999579,0.999999774554339,0.15932478848740195,0.6074715460981147,0.0022729241100039967,0.3925284539018853,0
yang_phase_only,scaled_w0,5,0.08,1.0,0.4082482904638631,0.999999774554339,0.08712750472326991,0.5274558968585251,0.0037200634303736478,0.4725441031414749,0
yang_phase_only,scaled_w0,6,0.08,1.0,0.3779644730092272,0.999999774554339,0.046865585641599275,0.4546877397426072,0.005517550157293175,0.5453122602573928,0
yang_phase_only,scaled_w0,7,0.08,1.0,0.35355339059327373,0.999999774554339,0.024909131044977873,0.38820326243602576,0.00761324460930509,0.6117967375639742,0
yang_phase_only,scaled_w0,8,0.08,1.0,0.3333333333333333,0.9999997745543399,0.013118392880979636,0.32748733573124944,0.009934200346713752,0.6725126642687506,0
yang_phase_only,scaled_w0,0,0.16,1.0,1.0,0.9999996378189155,0.974724462106845,0.9747248151337355,0.0001596117747303731,0.025275184866264455,0
yang_phase_only,scaled_w0,1,0.16,1.0,0.7071067811865475,0.9999996378189152,0.7365551715654249,0.8399036579733044,0.001972240983575834,0.16009634202669565,0
yang_phase_only,scaled_w0,2,0.16,1.0,0.5773502691896258,0.9999996378189152,0.4509511168561833,0.6677873297233639,0.006972412307911798,0.33221267027663615,0
yang_phase_only,scaled_w0,3,0.16,1.0,0.5,0.9999996378189152,0.2553662569462885,0.5056256536894479,0.015284638881352819,0.4943743463105521,0
yang_phase_only,scaled_w0,4,0.16,1.0,0.4472135954999579,0.9999996378189152,0.1388644388249259,0.3623088252156377,0.02588070663193208,0.6376911747843623,0
yang_phase_only,scaled_w0,5,0.16,1.0,0.4082482904638631,0.9999996378189152,0.07365641720509253,0.2420320752455407,0.03699219218254017,0.7579679247544593,0
