family,N,parameter,k_star,lr_exact,lr_asymptotic,relative_error,L_exact_mm
fixed_m,57,1,0.017543859649,0.003034661341,0.003037736042,0.001013194167,0.075866534
fixed_m,57,2,0.035087719298,0.012101808686,0.012150944169,0.004060176769,0.302545217
fixed_m,57,4,0.070175438596,0.047821419651,0.048603776675,0.016359970691,1.195535491
fixed_m,57,8,0.140350877193,0.182138125895,0.194415106700,0.067404782744,4.553453147
fixed_m,58,1,0.017241379310,0.002931021423,0.002933889537,0.000978537293,0.073275536
fixed_m,58,2,0.034482758621,0.011689722145,0.011735558146,0.003921051402,0.292243054
fixed_m,58,4,0.068965517241,0.046212290165,0.046942232585,0.015795417590,1.155307254
fixed_m,58,8,0.137931034483,0.176306857609,0.187768930342,0.065012064126,4.407671440
fixed_r_to_half,58,1,0.482758620690,0.997068978577,0.997066110463,0.000978537293,24.926724464
fixed_r_to_half,58,2,0.465517241379,0.988310277855,0.988264441854,0.003921051402,24.707756946
fixed_r_to_half,58,4,0.431034482759,0.953787709835,0.953057767415,0.015795417590,23.844692746
fixed_r_to_half,58,8,0.362068965517,0.823693142391,0.812231069658,0.065012064126,20.592328560
fixed_m,59,1,0.016949152542,0.002832599895,0.002835278484,0.000945628989,0.070814997
fixed_m,59,2,0.033898305085,0.011298305091,0.011341113934,0.003788961496,0.282457627
